tokens,ner_tags
"['norm', 'lamp', 'small', 'white']","['O', 'B-PRODUCT', 'O', 'O']"
"['bell', 'lamp', 'large', 'eu', 'sand']","['O', 'B-PRODUCT', 'O', 'O', 'O']"
"['rise', 'wall', 'lamp', 'eu', 'black']","['O', 'O', 'B-PRODUCT', 'O', 'O']"
"['norm', 'lamp', 'large', 'white']","['O', 'B-PRODUCT', 'O', 'O']"
"['canopy', 'white']","['O', 'O']"
"['rise', 'wall', 'lamp', 'eu', 'grey']","['O', 'O', 'B-PRODUCT', 'O', 'O']"
"['norm', 'lamp', 'medium', 'white']","['O', 'B-PRODUCT', 'O', 'O']"
"['amp', 'lamp', 'small', 'smokebrass']","['O', 'B-PRODUCT', 'O', 'O']"
"['amp', 'lamp', 'large', 'eu', 'smokebrass']","['O', 'B-PRODUCT', 'O', 'O', 'O']"
"['rise', 'wall', 'lamp', 'eu', 'white']","['O', 'O', 'B-PRODUCT', 'O', 'O']"
"['amp', 'lamp', 'small', 'eu', 'goldgreen']","['O', 'B-PRODUCT', 'O', 'O', 'O']"
"['norm', 'lamp', 'large', 'white']","['O', 'B-PRODUCT', 'O', 'O']"
"['tip', 'floor', 'lamp']","['O', 'O', 'B-PRODUCT']"
"['tip', 'wall', 'lamp']","['O', 'O', 'B-PRODUCT']"
"['gift', 'card']","['O', 'O']"
"['cord', 'w', 'fitting', 'canopy', 'eu', 'white']","['O', 'O', 'O', 'O', 'O', 'O']"
"['fairmount', 'long', 'oval', 'mirror', 'black']","['O', 'O', 'O', 'B-PRODUCT', 'O']"
"['trumpet', 'lamp', 'large']","['O', 'B-PRODUCT', 'O']"
"['cherry', 'candle', 'holder']","['O', 'O', 'O']"
"['hugo', 'barbell', 'floor', 'lamp', 'natural']","['O', 'O', 'O', 'B-PRODUCT', 'O']"
"['norm', 'lamp', 'small', 'white']","['O', 'B-PRODUCT', 'O', 'O']"
"['edmund', 'sconce', 'black', 'walnut']","['O', 'B-PRODUCT', 'O', 'O']"
"['rice', 'patterned', 'tumblers', 'set', 'of', 'clear']","['O', 'O', 'O', 'O', 'O', 'O']"
"['edmund', 'pendant', 'light', 'clear', 'maple']","['O', 'O', 'B-PRODUCT', 'O', 'O']"
"['fairmount', 'leather', 'wide', 'oval', 'mirror', 'tan']","['O', 'O', 'O', 'O', 'B-PRODUCT', 'O']"
"['amp', 'led', 'bulb', 'spiral', 'w', 'e', 'eu', 'dimmable']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['jack', 'leather', 'and', 'wood', 'stool', 'black']","['O', 'O', 'O', 'O', 'B-PRODUCT', 'O']"
"['amp', 'lamp', 'small', 'eu', 'smokeblack']","['O', 'B-PRODUCT', 'O', 'O', 'O']"
"['westlake', 'cocktail', 'table']","['O', 'O', 'B-PRODUCT']"
"['amp', 'lamp', 'large', 'eu', 'goldgreen']","['O', 'B-PRODUCT', 'O', 'O', 'O']"
"['westlake', 'end', 'table', 'with', 'shelf']","['O', 'B-PRODUCT', 'I-PRODUCT', 'O', 'B-PRODUCT']"
"['westlake', 'chairside', 'table']","['O', 'O', 'B-PRODUCT']"
"['westlake', 'tv', 'console']","['O', 'O', 'B-PRODUCT']"
"['westlake', 'sofa', 'table']","['O', 'B-PRODUCT', 'B-PRODUCT']"
"['westlake', 'queen', 'panel', 'bed']","['O', 'O', 'O', 'B-PRODUCT']"
"['westlake', 'king', 'panel', 'bed']","['O', 'O', 'O', 'B-PRODUCT']"
"['amp', 'lamp', 'large', 'eu', 'smokeblack']","['O', 'B-PRODUCT', 'O', 'O', 'O']"
"['westlake', 'cal', 'king', 'panel', 'bed']","['O', 'O', 'O', 'O', 'B-PRODUCT']"
"['westlake', 'queen', 'storage', 'bed']","['O', 'O', 'O', 'B-PRODUCT']"
"['bell', 'lamp', 'small', 'eu', 'sand']","['O', 'B-PRODUCT', 'O', 'O', 'O']"
"['staingard', 'plus', 'year', 'stain', 'accidental', 'damage', 'cover', 'leather', 'sofas', 'armchairs']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['amp', 'lamp', 'glass', 'large', 'smoke']","['O', 'B-PRODUCT', 'O', 'O', 'O']"
"['staingard', 'plus', 'year', 'stain', 'accidental', 'damage', 'cover', 'fabric', 'sofas', 'armchairs']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
['nan'],['O']
"['bau', 'lamp', 'small', 'eu', 'nature']","['O', 'B-PRODUCT', 'O', 'O', 'O']"
['nan'],['O']
"['amp', 'lamp', 'glass', 'small', 'smoke']","['O', 'B-PRODUCT', 'O', 'O', 'O']"
['nan'],['O']
['nan'],['O']
['nan'],['O']
"['porta', 'table', 'lamp', 'black']","['O', 'B-PRODUCT', 'B-PRODUCT', 'O']"
"['bay', 'bridge', 'chair']","['O', 'O', 'B-PRODUCT']"
"['amp', 'lamp', 'large', 'eu', 'whitewhite']","['O', 'B-PRODUCT', 'O', 'O', 'O']"
"['venture', 'chair']","['O', 'B-PRODUCT']"
['pc'],['O']
"['storage', 'ca', 'usm', 'haller']","['O', 'O', 'O', 'O']"
"['shelving', 're', 'usm', 'haller']","['O', 'O', 'O', 'O']"
"['roma', 'sofa', 'gunmetal']","['O', 'B-PRODUCT', 'O']"
"['sabrina', 'counter', 'height', 'stool']","['O', 'O', 'O', 'B-PRODUCT']"
"['roma', 'sectional', 'pebble']","['O', 'O', 'O']"
"['satine', 'mid', 'century', 'leather', 'stool', 'in', 'sizes', 'and', 'color', 'options']","['O', 'O', 'O', 'O', 'B-PRODUCT', 'O', 'O', 'O', 'O', 'O']"
"['satine', 'mid', 'century', 'stool', 'in', 'sizes', 'and', 'color', 'options']","['O', 'O', 'O', 'B-PRODUCT', 'O', 'O', 'O', 'O', 'O']"
"['evensong', 'trellis', 'in', 'midnight']","['O', 'O', 'O', 'O']"
"['evensong', 'trellis', 'in', 'chestnut']","['O', 'O', 'O', 'O']"
"['evensong', 'trellis', 'in', 'summer', 'palace']","['O', 'O', 'O', 'O', 'O']"
"['chinoiserie', 'stripe', 'prestonfield', 'blue']","['O', 'O', 'O', 'O']"
"['vadar', 'leather', 'wing', 'chair']","['O', 'O', 'B-PRODUCT', 'I-PRODUCT']"
"['craft', 'associates', 'modern', 'wing', 'chairs', 'large']","['O', 'O', 'O', 'O', 'O', 'O']"
"['craft', 'modern', 'grey', 'mohair', 'arm', 'chair']","['O', 'O', 'O', 'O', 'O', 'B-PRODUCT']"
"['wooly', 'modern', 'arm', 'chair', 'in', 'wool']","['O', 'O', 'O', 'B-PRODUCT', 'O', 'O']"
"['roma', 'loveseat', 'pebble']","['O', 'O', 'O']"
"['roma', 'sectional', 'gunmetal']","['O', 'O', 'O']"
"['roma', 'loveseat', 'gunmetal']","['O', 'O', 'O']"
"['stain', 'samplesfee', 'refunded', 'when', 'samples', 'are', 'returned']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['roma', 'chair', 'pebble']","['O', 'B-PRODUCT', 'O']"
"['qw', 'amish', 'logan', 'side', 'chair']","['O', 'O', 'O', 'O', 'B-PRODUCT']"
"['roma', 'chair', 'gunmetal']","['O', 'B-PRODUCT', 'O']"
"['soli', 'industrial', 'stool', 'in', 'sizes', 'and', 'color', 'options']","['O', 'O', 'B-PRODUCT', 'O', 'O', 'O', 'O', 'O']"
"['mccade', 'reclining', 'sofa']","['O', 'O', 'B-PRODUCT']"
"['swing', 'adjustable', 'bar', 'stool', 'in', 'color', 'options']","['O', 'O', 'B-PRODUCT', 'I-PRODUCT', 'O', 'O', 'O']"
"['zola', 'leather', 'counter', 'height', 'stool', 'in', 'black', 'or', 'white']","['O', 'O', 'O', 'O', 'B-PRODUCT', 'O', 'O', 'O', 'O']"
"['wayne', 'leather', 'stool', 'in', 'sizes', 'and', 'color', 'options']","['O', 'O', 'B-PRODUCT', 'O', 'O', 'O', 'O', 'O']"
"['chip', 'modern', 'backless', 'adjustable', 'barstool']","['O', 'O', 'O', 'O', 'O']"
"['circa', 'modern', 'adjustable', 'barstool']","['O', 'O', 'O', 'O']"
"['oahu', 'modern', 'backless', 'adjustable', 'barstool']","['O', 'O', 'O', 'O', 'O']"
"['mya', 'velvet', 'swivel', 'stool', 'in', 'colors', 'options']","['O', 'O', 'O', 'B-PRODUCT', 'O', 'O', 'O']"
"['raymond', 'antique', 'dual', 'tone', 'bar']","['O', 'O', 'O', 'O', 'O']"
"['mccade', 'recliner']","['O', 'B-PRODUCT']"
"['lulu', 'dining', 'chair']","['O', 'O', 'B-PRODUCT']"
"['mccade', 'reclining', 'sofa', 'and', 'loveseat']","['O', 'O', 'B-PRODUCT', 'O', 'O']"
"['sofa', 'loveseat', 'and', 'recliner']","['B-PRODUCT', 'O', 'O', 'B-PRODUCT']"
"['the', 'elmstead', 'armchair']","['O', 'O', 'B-PRODUCT']"
"['uv', 'stick', 'spf']","['O', 'O', 'O']"
"['the', 'kingston', 'armchair']","['O', 'O', 'B-PRODUCT']"
"['little', 'partners', 'gift', 'card']","['O', 'O', 'O', 'O']"
"['chair', 'four', 'legged', 'chrome']","['B-PRODUCT', 'O', 'O', 'O']"
"['soft', 'minimal']","['O', 'O']"
"['fine', 'bamboo', 'blinds']","['O', 'O', 'O']"
"['hasami', 'mug', 'medium', 'gloss', 'grey']","['O', 'O', 'O', 'O', 'O']"
"['the', 'ebury', 'armchair']","['O', 'O', 'B-PRODUCT']"
"['the', 'langton', 'armchair']","['O', 'O', 'B-PRODUCT']"
"['woven', 'door', 'basket']","['O', 'O', 'O']"
"['petite', 'raised', 'cutting', 'boards', 'set', 'of']","['O', 'O', 'O', 'O', 'O', 'O']"
"['colonial', 'teak', 'table', 'x', 'cm']","['O', 'O', 'B-PRODUCT', 'O', 'O']"
"['colonial', 'teak', 'table', 'x', 'cm']","['O', 'O', 'B-PRODUCT', 'O', 'O']"
"['farmhouse', 'reproduction', 'pie', 'safe']","['O', 'O', 'O', 'O']"
"['rustic', 'wood', 'cookbook', 'stand']","['O', 'O', 'O', 'O']"
"['george', 'teak', 'round', 'table', 'cm']","['O', 'O', 'O', 'B-PRODUCT', 'O']"
"['terracotta', 'vase', 'small']","['O', 'O', 'O']"
"['terracotta', 'vase', 'large']","['O', 'O', 'O']"
"['jute', 'carpet', 'x']","['O', 'B-PRODUCT', 'O']"
"['jute', 'carpet', 'x']","['O', 'B-PRODUCT', 'O']"
"['healthy', 'animal', 'small']","['O', 'O', 'O']"
"['shelly', 'teak', 'shelves', 'low']","['O', 'O', 'O', 'O']"
"['tangelo', 'lamp', 'shade', 'extra', 'small']","['O', 'B-PRODUCT', 'O', 'O', 'O']"
"['lucas', 'teak', 'mirror', 'cm']","['O', 'O', 'B-PRODUCT', 'O']"
"['alfred', 'teak', 'side', 'table']","['O', 'O', 'O', 'B-PRODUCT']"
"['lucas', 'teak', 'dining', 'table', 'x', 'cm']","['O', 'O', 'O', 'B-PRODUCT', 'O', 'O']"
"['lucas', 'teak', 'dining', 'table', 'x', 'cm']","['O', 'O', 'O', 'B-PRODUCT', 'O', 'O']"
"['lucas', 'teak', 'extendable', 'table', 'x', 'cm']","['O', 'O', 'O', 'B-PRODUCT', 'O', 'O']"
"['michel', 'teak', 'dining', 'table']","['O', 'O', 'O', 'B-PRODUCT']"
"['george', 'teak', 'extendable', 'table', 'x', 'cm']","['O', 'O', 'O', 'B-PRODUCT', 'O', 'O']"
"['george', 'teak', 'bench']","['O', 'O', 'B-PRODUCT']"
"['rooster', 'hook']","['O', 'O']"
"['george', 'teak', 'table', 'cm']","['O', 'O', 'B-PRODUCT', 'O']"
"['isabell', 'bar', 'stool']","['O', 'B-PRODUCT', 'I-PRODUCT']"
"['healthy', 'animal', 'large']","['O', 'O', 'O']"
"['charlottenborg', 'coffee', 'table']","['O', 'B-PRODUCT', 'I-PRODUCT']"
"['carlo', 'bar', 'trolley']","['O', 'O', 'O']"
"['salsa', 'bar', 'stool']","['O', 'B-PRODUCT', 'I-PRODUCT']"
"['blues', 'counter', 'stool']","['O', 'O', 'B-PRODUCT']"
"['luis', 'bench']","['O', 'B-PRODUCT']"
"['chain', 'for', 'hanging', 'egg', 'chair']","['O', 'O', 'O', 'O', 'B-PRODUCT']"
"['roger', 'stool']","['O', 'B-PRODUCT']"
"['lucas', 'teak', 'console']","['O', 'O', 'B-PRODUCT']"
"['alexander', 'teak', 'coffee', 'table']","['O', 'O', 'B-PRODUCT', 'I-PRODUCT']"
"['essence', 'sideboard']","['O', 'B-PRODUCT']"
"['sofa', 'cover']","['B-PRODUCT', 'O']"
"['agap', 'coffee', 'table']","['O', 'B-PRODUCT', 'I-PRODUCT']"
"['doisy', 'bedhead']","['O', 'O']"
"['bozzolo', 'swivel', 'armchair']","['O', 'O', 'B-PRODUCT']"
"['ottoman', 'leo']","['B-PRODUCT', 'O']"
"['linen', 'tablecloth']","['O', 'O']"
"['sorensen', 'teak', 'slatted', 'round', 'coffee', 'table', 'side', 'table', 'bundle']","['O', 'O', 'O', 'O', 'B-PRODUCT', 'I-PRODUCT', 'O', 'B-PRODUCT', 'O']"
"['sorensen', 'teak', 'slatted', 'round', 'coffee', 'table', 'cm']","['O', 'O', 'O', 'O', 'B-PRODUCT', 'I-PRODUCT', 'O']"
"['sorensen', 'teak', 'slatted', 'round', 'side', 'table', 'bundle', 'x', 'cm']","['O', 'O', 'O', 'O', 'O', 'B-PRODUCT', 'O', 'O', 'O']"
"['sorensen', 'teak', 'slatted', 'round', 'side', 'table', 'cm']","['O', 'O', 'O', 'O', 'O', 'B-PRODUCT', 'O']"
"['sorensen', 'teak', 'bench', 'cm']","['O', 'O', 'B-PRODUCT', 'O']"
"['sorensen', 'teak', 'bench', 'cm']","['O', 'O', 'B-PRODUCT', 'O']"
"['riviera', 'buffet', 'cabinet']","['O', 'B-PRODUCT', 'B-PRODUCT']"
"['linen', 'gingham', 'napkin', 'set', 'of', 'napkins']","['O', 'O', 'O', 'O', 'O', 'O']"
"['riviera', 'dining', 'table']","['O', 'O', 'B-PRODUCT']"
"['sorensen', 'teak', 'bench', 'package', 'cm', 'cm', 'cm']","['O', 'O', 'B-PRODUCT', 'O', 'O', 'O', 'O']"
"['sponge', 'cloth', 'citrus', 'orange']","['O', 'O', 'O', 'O']"
['poni'],['O']
['formula'],['O']
['screw'],['O']
"['pete', 'wall', 'sconce']","['O', 'O', 'B-PRODUCT']"
"['shale', 'nightstand', 'natural']","['O', 'B-PRODUCT', 'O']"
"['fd', 'contemporary', 'oak', 'bookcase', 'headboard', 'ecal', 'king', 'size']","['O', 'O', 'O', 'B-PRODUCT', 'B-PRODUCT', 'O', 'O', 'O']"
"['odot', 'traditional', 'oak', 'drawer', 'nightstand']","['O', 'O', 'O', 'O', 'B-PRODUCT']"
"['odotq', 'traditional', 'oak', 'bookcase', 'headboard', 'queen', 'size']","['O', 'O', 'O', 'B-PRODUCT', 'B-PRODUCT', 'O', 'O']"
"['odotek', 'traditional', 'oak', 'bookcase', 'headboard', 'king', 'size']","['O', 'O', 'O', 'B-PRODUCT', 'B-PRODUCT', 'O', 'O']"
"['fd', 'contemporary', 'oak', 'drawer', 'nightstand']","['O', 'O', 'O', 'O', 'B-PRODUCT']"
"['odotek', 'traditional', 'oak', 'pedestal', 'bed', 'with', 'drawers', 'king', 'size']","['O', 'O', 'O', 'O', 'B-PRODUCT', 'O', 'O', 'O', 'O']"
"['mug', 'beaver']","['O', 'O']"
"['lunch', 'bag', 'navy', 'waxed', 'canvas', 'nomad']","['O', 'O', 'O', 'O', 'O', 'O']"
"['vintage', 'railway', 'signal', 'lamp']","['O', 'O', 'O', 'B-PRODUCT']"
"['clay', 'pot', 'with', 'metal', 'stand']","['O', 'O', 'O', 'O', 'O']"
"['ow', 'colonial', 'chair']","['O', 'O', 'B-PRODUCT']"
"['ch', 'wishbone', 'chair']","['O', 'O', 'B-PRODUCT']"
"['norm', 'floor', 'mirror']","['O', 'O', 'B-PRODUCT']"
"['to', 'go', 'click']","['O', 'O', 'O']"
"['heracleum', 'ii', 's']","['O', 'O', 'O']"
"['pet', 'lights']","['O', 'O']"
"['skyfall', 'large']","['O', 'O']"
"['flute', 'round']","['O', 'O']"
"['slim', 'extendable']","['O', 'O']"
"['shelf', 'authentico', 'zick', 'zack']","['B-PRODUCT', 'O', 'O', 'O']"
"['side', 'table', 'animal', 'mr', 'jack', 'cm']","['O', 'B-PRODUCT', 'O', 'O', 'O', 'O']"
"['browser', 'not', 'supported']","['O', 'O', 'O']"
"['smoke', 'armchair']","['O', 'B-PRODUCT']"
"['nr', 'suspension']","['O', 'O']"
"['nantucket', 'console', 'table', 'flat', 'packed']","['O', 'B-PRODUCT', 'B-PRODUCT', 'O', 'O']"
"['style', 'my', 'home', 'gift', 'card']","['O', 'O', 'O', 'O', 'O']"
"['nantucket', 'bedside', 'table', 'flat', 'packed']","['O', 'O', 'B-PRODUCT', 'O', 'O']"
"['twos', 'company', 'queen', 'annes', 's', 'silver', 'vases']","['O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['twos', 'company', 'sleek', 'chic', 'glass', 'bubbles', 'vases', 'set']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['twos', 'company', 'sleek', 'chic', 'vase', 'trio']","['O', 'O', 'O', 'O', 'O', 'O']"
"['twos', 'company', 'artisan', 'carvings', 'set', 'of', 'bud', 'vases']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['twos', 'company', 'indigo', 'chevron', 'wall', 'mirror']","['O', 'O', 'O', 'O', 'O', 'B-PRODUCT']"
"['twos', 'company', 's', 'natural', 'rattan', 'mirrors']","['O', 'O', 'O', 'O', 'O', 'O']"
"['boston', 'dining', 'chair', 'whiskey']","['O', 'O', 'B-PRODUCT', 'O']"
"['fenwick', 'dining', 'chair', 'tan']","['O', 'O', 'B-PRODUCT', 'O']"
"['jones', 'dining', 'chair', 'whiskey']","['O', 'O', 'B-PRODUCT', 'O']"
"['jones', 'dining', 'chair', 'tan']","['O', 'O', 'B-PRODUCT', 'O']"
"['tanner', 'dining', 'chair', 'tan']","['O', 'O', 'B-PRODUCT', 'O']"
"['tanner', 'dining', 'chair', 'black']","['O', 'O', 'B-PRODUCT', 'O']"
"['fenwick', 'dining', 'chair', 'black']","['O', 'O', 'B-PRODUCT', 'O']"
"['rustic', 'wood', 'furniture']","['O', 'O', 'B-PRODUCT']"
"['french', 'country', 'furniture']","['O', 'O', 'B-PRODUCT']"
"['cherry', 'wood', 'furniture']","['O', 'O', 'B-PRODUCT']"
"['solid', 'walnut', 'furniture']","['O', 'O', 'B-PRODUCT']"
"['queen', 'anne', 'furniture']","['O', 'O', 'B-PRODUCT']"
"['shaker', 'furniture']","['O', 'B-PRODUCT']"
"['mid', 'century', 'modern', 'wood', 'furniture']","['O', 'O', 'O', 'O', 'B-PRODUCT']"
"['farmhouse', 'furniture']","['O', 'B-PRODUCT']"
"['mission', 'furniture']","['O', 'B-PRODUCT']"
"['arts', 'and', 'crafts', 'furniture']","['O', 'O', 'O', 'B-PRODUCT']"
"['reclaimed', 'and', 'salvaged', 'barnwood', 'furniture']","['O', 'O', 'O', 'O', 'B-PRODUCT']"
"['large', 'hutch', 'cabinets']","['O', 'B-PRODUCT', 'O']"
"['door', 'hutches']","['O', 'O']"
"['outdoor', 'furniture', 'accessories']","['O', 'B-PRODUCT', 'O']"
"['custom', 'home', 'entertainment', 'centers', 'all', 'page']","['O', 'O', 'O', 'O', 'O', 'O']"
"['amish', 'picnic', 'tables']","['O', 'O', 'O']"
"['outdoor', 'accent', 'tables']","['O', 'O', 'O']"
"['custom', 'home', 'entertainment', 'centers', 'all', 'page']","['O', 'O', 'O', 'O', 'O', 'O']"
"['amish', 'outdoor', 'tables']","['O', 'O', 'O']"
"['custom', 'home', 'entertainment', 'centers', 'all', 'page']","['O', 'O', 'O', 'O', 'O', 'O']"
"['outdoor', 'rocking', 'chairs']","['O', 'O', 'O']"
"['custom', 'home', 'entertainment', 'centers', 'all', 'page']","['O', 'O', 'O', 'O', 'O', 'O']"
"['custom', 'home', 'entertainment', 'centers', 'all', 'page']","['O', 'O', 'O', 'O', 'O', 'O']"
"['outdoor', 'lounge', 'seating']","['O', 'O', 'O']"
"['amish', 'porch', 'swings']","['O', 'O', 'O']"
"['patio', 'benches']","['O', 'O']"
"['outdoor', 'loveseats', 'sofas']","['O', 'O', 'O']"
"['amish', 'adirondack', 'chairs']","['O', 'O', 'O']"
"['amish', 'patio', 'chairs']","['O', 'O', 'O']"
"['amish', 'outdoor', 'furniture', 'sets']","['O', 'O', 'B-PRODUCT', 'O']"
"['amish', 'outdoor', 'chairs']","['O', 'O', 'O']"
"['childrens', 'tables', 'and', 'chairs']","['O', 'O', 'O', 'O']"
"['baby', 'kids', 'furniture']","['O', 'O', 'B-PRODUCT']"
"['nursery', 'night', 'stands']","['O', 'O', 'O']"
"['solid', 'wood', 'nursery', 'furniture', 'sets']","['O', 'O', 'O', 'B-PRODUCT', 'O']"
"['wooden', 'toy', 'chests']","['O', 'O', 'O']"
"['changing', 'table', 'dressers']","['O', 'B-PRODUCT', 'O']"
"['baby', 'dressers']","['O', 'O']"
"['amish', 'baby', 'convertible', 'cribs', 'youth', 'beds']","['O', 'O', 'O', 'O', 'O', 'O']"
"['live', 'edge', 'rustic', 'living', 'room', 'furniture']","['O', 'O', 'O', 'O', 'O', 'B-PRODUCT']"
"['mudroom', 'entryway', 'furniture']","['O', 'O', 'B-PRODUCT']"
"['amish', 'rocking', 'chairs']","['O', 'O', 'O']"
"['curio', 'display', 'cabinets', 'made', 'from', 'solid', 'wood', 'and', 'glass']","['B-PRODUCT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"['arts', 'and', 'crafts', 'entertainment', 'centers']","['O', 'O', 'O', 'O', 'O']"
"['custom', 'home', 'entertainment', 'centers']","['O', 'O', 'O', 'O']"
"['traditional', 'entertainment', 'centers']","['O', 'O', 'O']"
"['mission', 'entertainment', 'centers']","['O', 'O', 'O']"
"['solid', 'wood', 'corner', 'tv', 'stands', 'cabinets']","['O', 'O', 'O', 'O', 'O', 'O']"
"['amish', 'tv', 'stands']","['O', 'O', 'O']"
"['custom', 'home', 'entertainment', 'centers', 'all']","['O', 'O', 'O', 'O', 'O']"
"['wood', 'wall', 'entertainment', 'centers']","['O', 'O', 'O', 'O']"
"['amish', 'living', 'room', 'furniture']","['O', 'O', 'O', 'B-PRODUCT']"
"['solid', 'wood', 'end', 'tables']","['O', 'O', 'O', 'O']"
"['amish', 'sofa', 'tables']","['O', 'B-PRODUCT', 'O']"
"['amish', 'living', 'room', 'furniture', 'sets']","['O', 'O', 'O', 'B-PRODUCT', 'O']"
"['upholstered', 'living', 'room', 'chairs']","['O', 'O', 'O', 'O']"
"['wooden', 'love', 'seats']","['O', 'O', 'O']"
"['handmade', 'amish', 'sofas']","['O', 'O', 'O']"
"['queen', 'anne', 'bedroom', 'furniture']","['O', 'O', 'O', 'B-PRODUCT']"
"['contemporary', 'bedroom', 'furniture']","['O', 'O', 'B-PRODUCT']"
"['french', 'country', 'bedroom', 'furniture']","['O', 'O', 'O', 'B-PRODUCT']"
"['shaker', 'bedroom', 'furniture']","['O', 'O', 'B-PRODUCT']"
"['traditional', 'bedroom', 'furniture']","['O', 'O', 'B-PRODUCT']"
"['mission', 'style', 'bedroom', 'furniture']","['O', 'O', 'O', 'B-PRODUCT']"
"['farmhouse', 'bedroom', 'furniture']","['O', 'O', 'B-PRODUCT']"
"['amish', 'vanities']","['O', 'O']"
"['live', 'edge', 'rustic', 'bedroom', 'furniture']","['O', 'O', 'O', 'O', 'B-PRODUCT']"
"['storage', 'chests', 'and', 'trunks']","['O', 'O', 'O', 'O']"
"['amish', 'nightstands']","['O', 'O']"
"['solid', 'wood', 'gentlemans', 'chests']","['O', 'O', 'O', 'O']"
"['solid', 'wood', 'lingerie', 'chests']","['O', 'O', 'O', 'O']"
"['bedroom', 'sideboards']","['O', 'O']"
"['chifferobe', 'dressers']","['O', 'O']"
"['solid', 'wood', 'dressers']","['O', 'O', 'O']"
"['amish', 'jewelry', 'armoires']","['O', 'O', 'O']"
"['cheval', 'mirrors']","['O', 'O']"
